% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- -------------------
 13.28    0.129096         137       936       370 openat
 11.46    0.111404         172       647           mmap
 10.43    0.101451         177       571         7 futex
  6.76    0.065736         113       581           close
  6.48    0.063036         113       553           read
  6.31    0.061370         105       582           mprotect
  4.85    0.047148         120       390       112 access
  4.70    0.045751        1906        24           clone
  4.09    0.039816         137       290        79 newfstatat
  4.09    0.039780        3977        10         4 wait4
  2.36    0.022915         114       200           poll
  2.14    0.020824         103       202        15 stat
  1.97    0.019143         134       142           gettid
  1.95    0.018983          90       209           fstatfs
  1.83    0.017843         151       118        18 recvmsg
  1.75    0.017053         153       111           rt_sigprocmask
  1.74    0.016894         168       100           writev
  1.69    0.016423         248        66           write
  1.45    0.014061          87       161           fstat
  1.41    0.013719         105       130        20 readlink
  1.18    0.011431         128        89           madvise
  1.17    0.011349         118        96           getrandom
  0.95    0.009273          86       107           fadvise64
  0.93    0.009027         141        64           munmap
  0.82    0.007964         153        52           rt_sigaction
  0.36    0.003532         130        27         3 fcntl
  0.28    0.002743         124        22           lseek
  0.28    0.002710        1355         2           execve
  0.24    0.002349          93        25           getpid
  0.19    0.001820         151        12         2 ioctl
  0.18    0.001703          94        18           uname
  0.17    0.001631         148        11           getuid
  0.16    0.001539         139        11           getegid
  0.16    0.001515         151        10           getgid
  0.15    0.001414         128        11           geteuid
  0.14    0.001369         195         7           pipe
  0.13    0.001235         176         7         4 prctl
  0.13    0.001224         153         8           getdents64
  0.11    0.001090         272         4           socket
  0.10    0.001000         142         7           eventfd2
  0.09    0.000906         151         6           dup2
  0.09    0.000902          90        10           recvfrom
  0.09    0.000840          84        10           pread64
  0.09    0.000833         277         3         2 statfs
  0.08    0.000799         133         6           prlimit64
  0.07    0.000677         225         3           socketpair
  0.07    0.000665         166         4           connect
  0.07    0.000655         163         4           rt_sigreturn
  0.07    0.000639         127         5           brk
  0.06    0.000596         198         3           sendmsg
  0.06    0.000572         143         4           sendto
  0.06    0.000570         142         4           getresuid
  0.05    0.000534         178         3           setsockopt
  0.05    0.000534         178         3           getppid
  0.05    0.000457         228         2         1 mkdir
  0.04    0.000420         105         4           getresgid
  0.04    0.000390         130         3           shutdown
  0.03    0.000316          79         4         2 arch_prctl
  0.03    0.000281         140         2         1 setpriority
  0.02    0.000234         117         2           sysinfo
  0.02    0.000224         224         1           rename
  0.02    0.000196          98         2           getpeername
  0.02    0.000186         186         1           creat
  0.02    0.000156          78         2           getsockname
  0.02    0.000156         156         1           getpgrp
  0.01    0.000141         141         1           set_tid_address
  0.01    0.000139         139         1           getpriority
  0.01    0.000138         138         1           sched_getparam
  0.01    0.000137         137         1           set_robust_list
  0.01    0.000136         136         1           sched_getscheduler
  0.01    0.000100         100         1           getcwd
  0.01    0.000096          96         1           pwrite64
  0.01    0.000096          96         1           sched_setattr
  0.01    0.000092          92         1           pselect6
  0.01    0.000082          82         1           sched_getattr
  0.01    0.000078          39         2           statx
  0.01    0.000074          74         1         1 sched_getaffinity
------ ----------- ----------- --------- --------- -------------------
100.00    0.972411         144      6718       641 total
