% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 97.82    6.742537      518656        13         1 futex
  0.66    0.045519        2677        17         8 wait4
  0.34    0.023231         239        97           mmap
  0.16    0.010863         241        45        16 openat
  0.13    0.009252         841        11           clone
  0.13    0.008936         175        51         1 close
  0.13    0.008817         205        43         9 newfstatat
  0.11    0.007273         196        37           read
  0.08    0.005257         181        29           mprotect
  0.07    0.004971         198        25        24 readlink
  0.06    0.004412        2206         2           execve
  0.04    0.002510         228        11           pread64
  0.03    0.002266         251         9           pipe
  0.03    0.001992         181        11           rt_sigaction
  0.02    0.001561         173         9         1 rt_sigreturn
  0.02    0.001420         202         7         4 stat
  0.02    0.001336         222         6         3 access
  0.02    0.001163         193         6           brk
  0.01    0.000912         182         5           rt_sigprocmask
  0.01    0.000905         226         4         2 arch_prctl
  0.01    0.000760         253         3           socket
  0.01    0.000741         247         3           munmap
  0.01    0.000732         183         4           getuid
  0.01    0.000702         234         3         3 connect
  0.01    0.000665         166         4           faccessat2
  0.01    0.000598         199         3           chdir
  0.01    0.000473         157         3           fcntl
  0.01    0.000456         228         2           lstat
  0.00    0.000330         165         2           geteuid
  0.00    0.000308         308         1           write
  0.00    0.000218         218         1           getpid
  0.00    0.000217         217         1           set_robust_list
  0.00    0.000193         193         1           lseek
  0.00    0.000188         188         1           getgid
  0.00    0.000180         180         1         1 mkdir
  0.00    0.000166         166         1           getcwd
  0.00    0.000160         160         1           getppid
  0.00    0.000160         160         1           set_tid_address
  0.00    0.000153         153         1           getegid
  0.00    0.000152         152         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    6.892685       14480       476        73 total
