% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 96.49    3.607085      277468        13         1 futex
  1.17    0.043785        2575        17         8 wait4
  0.47    0.017491         180        97           mmap
  0.23    0.008755         194        45        16 openat
  0.22    0.008284         162        51         1 close
  0.21    0.007714         701        11           clone
  0.19    0.007246         168        43         9 newfstatat
  0.16    0.006057         208        29           mprotect
  0.16    0.005989         161        37           read
  0.12    0.004634         185        25        24 readlink
  0.08    0.003079        1539         2           execve
  0.06    0.002111         234         9           pipe
  0.05    0.001741         158        11           rt_sigaction
  0.04    0.001522         169         9         1 rt_sigreturn
  0.04    0.001482         134        11           pread64
  0.03    0.001278         182         7         4 stat
  0.03    0.001170         195         6         3 access
  0.02    0.000908         151         6           brk
  0.02    0.000776         155         5           rt_sigprocmask
  0.02    0.000740         246         3           munmap
  0.02    0.000733         183         4           faccessat2
  0.02    0.000706         235         3         3 connect
  0.02    0.000662         220         3           socket
  0.01    0.000552         138         4         2 arch_prctl
  0.01    0.000519         129         4           getuid
  0.01    0.000458         152         3           fcntl
  0.01    0.000439         146         3           chdir
  0.01    0.000300         150         2           lstat
  0.01    0.000250         125         2           geteuid
  0.01    0.000222         222         1           lseek
  0.01    0.000221         221         1           write
  0.00    0.000161         161         1         1 mkdir
  0.00    0.000161         161         1           set_tid_address
  0.00    0.000158         158         1           getgid
  0.00    0.000154         154         1           set_robust_list
  0.00    0.000149         149         1           getcwd
  0.00    0.000144         144         1           prlimit64
  0.00    0.000142         142         1           getppid
  0.00    0.000138         138         1           getpid
  0.00    0.000133         133         1           getegid
------ ----------- ----------- --------- --------- ----------------
100.00    3.738249        7853       476        73 total
