% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 58.73    3.564658          34    101960           epoll_ctl
 21.46    1.302396          63     20595           write
 13.45    0.816237          40     20001           recvfrom
  1.72    0.104422         104      1002      1001 connect
  1.24    0.075086          73      1027           close
  1.02    0.061611          30      2004           fcntl
  0.80    0.048804          48      1001           socket
  0.75    0.045751          57       800           epoll_wait
  0.54    0.032544          32      1001           setsockopt
  0.13    0.007811          74       105           mmap
  0.03    0.002065          66        31           mprotect
  0.03    0.002056          85        24           openat
  0.03    0.001740          69        25           read
  0.03    0.001650          68        24           newfstatat
  0.02    0.001007          50        20           madvise
  0.00    0.000279          46         6           pread64
  0.00    0.000277          55         5           munmap
  0.00    0.000264          44         6         4 prctl
  0.00    0.000216         108         2           open
  0.00    0.000177          44         4           rt_sigaction
  0.00    0.000163          81         2         1 arch_prctl
  0.00    0.000147          73         2           brk
  0.00    0.000132         132         1         1 access
  0.00    0.000098          98         1           sendto
  0.00    0.000086          43         2           getpid
  0.00    0.000054          54         1           epoll_create
  0.00    0.000048          48         1         1 readlink
  0.00    0.000045          45         1           rt_sigprocmask
  0.00    0.000044          44         1           set_robust_list
  0.00    0.000043          43         1           set_tid_address
  0.00    0.000043          43         1           prlimit64
  0.00    0.000028          28         1           sysinfo
  0.00    0.000013          13         1           poll
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    6.069995          40    149660      1008 total
