% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.10    0.166576         180       923           write
 27.93    0.140563          88      1596           fcntl
 26.29    0.132276         117      1125         5 read
  2.13    0.010718         142        75           mmap
  1.84    0.009268         171        54        10 newfstatat
  1.50    0.007571         168        45        13 openat
  1.21    0.006065         126        48           ioctl
  1.01    0.005107         145        35           close
  0.85    0.004256         101        42           getpgrp
  0.75    0.003781         189        20           getpid
  0.62    0.003103         141        22           futex
  0.53    0.002652         126        21           mprotect
  0.38    0.001894         315         6           pselect6
  0.31    0.001565         391         4         2 connect
  0.22    0.001085         271         4           socket
  0.19    0.000970         323         3           poll
  0.17    0.000872         124         7           rt_sigaction
  0.16    0.000786         196         4           munmap
  0.13    0.000677         112         6           pread64
  0.13    0.000650         130         5           brk
  0.12    0.000613         306         2           recvfrom
  0.07    0.000353         176         2           lseek
  0.06    0.000325         325         1           sendmmsg
  0.04    0.000198         198         1           sysinfo
  0.04    0.000192         192         1           setsockopt
  0.04    0.000189         189         1           prlimit64
  0.04    0.000181         181         1           statfs
  0.03    0.000146         146         1           getrandom
  0.03    0.000137         137         1           getgroups
  0.03    0.000134         134         1           getuid
  0.03    0.000131         131         1           utimensat
  0.01    0.000062          62         1           rt_sigprocmask
  0.01    0.000045          45         1           set_tid_address
  0.01    0.000040          40         1           set_robust_list
  0.01    0.000034          17         2         1 arch_prctl
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.503215         123      4065        32 total
