% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 30.87    0.312259          59      5234        48 openat
 27.49    0.278137          53      5212           read
 25.09    0.253814          48      5187           close
 13.24    0.133920          50      2677        37 newfstatat
  0.76    0.007732         429        18           getdents64
  0.47    0.004718          43       109           rt_sigaction
  0.38    0.003876          51        75           mmap
  0.29    0.002964          41        72           alarm
  0.26    0.002660          53        50           lseek
  0.20    0.002028          42        48           fcntl
  0.19    0.001911          83        23           write
  0.14    0.001420          83        17           ioctl
  0.12    0.001226          40        30           pread64
  0.11    0.001133         161         7           pselect6
  0.11    0.001120          58        19           mprotect
  0.05    0.000478          53         9         8 access
  0.03    0.000325          40         8           brk
  0.03    0.000277          69         4           munmap
  0.03    0.000272          45         6         4 prctl
  0.03    0.000260         260         1           dup2
  0.02    0.000228         114         2           rt_sigprocmask
  0.01    0.000142          71         2         2 connect
  0.01    0.000122          61         2           socket
  0.01    0.000116         116         1           clock_nanosleep
  0.01    0.000105          52         2         2 mkdir
  0.00    0.000048          48         1           sysinfo
  0.00    0.000044          44         1           futex
  0.00    0.000044          44         1           prlimit64
  0.00    0.000043          43         1           sched_getaffinity
  0.00    0.000043          43         1           set_tid_address
  0.00    0.000043          43         1           dup3
  0.00    0.000042          42         1           dup
  0.00    0.000042          42         1           getuid
  0.00    0.000042          21         2         1 arch_prctl
  0.00    0.000041          41         1           set_robust_list
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    1.011675          53     18827       102 total
